,I,thou,he,we,you,they,this,that,here,there,who,what,where,when,how,not,all,many,some,few,other,one,two,three,four,five,big,long,wide,thick,heavy,small,short,narrow,thin,woman,man,human,child,wife,husband,mother,father,animal,fish,bird,dog,louse,snake,worm,tree,forest,stick,fruit,seed,leaf,root,bark,flower,grass,rope,skin,meat,blood,bone,fat,egg,horn,tail,feather,hair,head,ear,eye,nose,mouth,tooth,tongue,fingernail,foot,leg,knee,hand,wing,belly,guts,neck,back,breast,heart,liver,drink,eat,bite,suck,spit,vomit,blow,breathe,laugh,see,hear,know,think,smell,fear,sleep,live,die,kill,fight,hunt,hit,cut,split,stab,scratch,dig,swim,fly,walk,come,lie,sit,stand,turn,fall,give,hold,squeeze,rub,wash,wipe,pull,push,throw,tie,sew,count,say,sing,play,float,flow,freeze,swell,sun,moon,star,water,rain,river,lake,sea,salt,stone,sand,dust,earth,cloud,fog,sky,wind,snow,ice,smoke,fire,ash,burn,road,mountain,red,green,yellow,white,black,night,day,year,warm,cold,full,new,old,good,bad,rotten,dirty,straight,round,sharp,dull,smooth,wet,dry,correct,near,far,right,left,at,in,with,and,if,because,name
 ja, ɰᵝa̠ta̠ɕi, ⟨ki1mi1⟩, ka̠, ɰᵝa̠ta̠ɕi̥ta̠t͡ɕi, kipau, ka̠ɾe̞ɾa̠, ko̞no̞, ⟨so2 no2⟩, ⟨ko2ko2⟩, , tare, na̠ɲ̟i, idu, nã̠ɲ̟d͡ʑi, , , sɨᵝbe̞te̞, , , sɨ̥ᵝko̞ɕi, ho̞ka̠, it͡ɕi̥, ɲ̟i, */sam, jo̞, it͡sɨᵝ, o̞to̞na̠, na̠ɡa̠i, , , o̞mo̞i, tipisasi, mʲiʑika̠i, se̞ma̠i, , õ̞nːa̠ no̞ çi̥to̞, ⟨pi1to2⟩, ⟨pi1to2⟩, ko̞do̞mo̞, t͡sɨᵝma̠, o̞t̚to̞, okakasama, ototosama, do̞ːbɯ̟ᵝt͡sɨᵝ, uwo, ⟨to2ri⟩, inɯ̟ᵝ, ɕiɾa̠mʲi, pemi, d͡zẽ̞ɲ̟t͡ɕɨᵝː, kɨ, mo̞ɾʲi, , , ta̠ne̞, pa, ne̞, , pana, kɯ̟̊ᵝsa̠, , , ɕiɕi, , pone, ɕibo̞ː, ta̠ma̠ɡo̞, ka̠do̞, ɕip̚po̞, ha̠ne̞, , a̠ta̠ma̠, mʲimʲi, ma̠, , kutu, ha̠, ɕi̥ta̠, t͡sɨᵝme̞, a̠ɕi, kʲa̠kɯ̟ᵝ, çiza̠, , t͡sɨᵝba̠sa̠, wi, , kɯ̟ᵝbʲi, , mɯ̟ᵝna̠, ɕĩnd͡zo̞ː, kã̠nd͡zo̞ː, no̞mɯ̟ᵝ, , ka̠mɯ̟ᵝ, , t͡sɨᵝba̠, , ɸɯ̟ᵝkɯ̟ᵝ, ko̞kʲɨᵝː, ɰᵝa̠ɾa̠ɯ̟ᵝ, mʲiɾɯ̟ᵝ, kʲi̥kɯ̟ᵝ, , kamukapu, ɲ̟io̞i, , , ikʲiɾɯ̟ᵝ, ɕinɯ̟ᵝ, ko̞ɾo̞sɨᵝ, , ka̠ɾɯ̟ᵝ, ɯ̟ᵝt͡sɨᵝ, kʲiɾɯ̟ᵝ, ɰᵝa̠ɾɯ̟ᵝ, , çik̚ka̠kɯ̟ᵝ, , ɡ, , a̠ɾɯ̟ᵝkɯ̟ᵝ, kɯ̟ᵝɾɯ̟ᵝ, ɯ̟ᵝso̞, sɨᵝɰᵝa̠ɾɯ̟ᵝ, ta̠t͡sɨᵝ, , ot͡su, *ataperu, , , , a̠ɾa̠ɯ̟ᵝ, , , , , , nupu, kazuapu, ipu, ɯ̟ᵝta̠ɯ̟ᵝ, a̠so̞bɯ̟ᵝ, , , , , , ta̠iĩɴ, posi, ⟨mi1du⟩, same, kapa, mʲizɨᵝɯ̟ᵝmʲi, ⟨umi1⟩, ɕio̞, iɕi, sɨᵝna̠, , d͡ʑi, ⟨kumo1⟩, , so̞ɾa̠, ka̠ze̞, ⟨yuki1⟩, ⟨ko2pori⟩, keburi, ⟨hi2⟩, , moju, dau, ja̠ma̠, akaki, mʲido̞ɾʲi, , ⟨siro1si⟩, , ⟨yo1ru⟩, nʲiti, nẽ̞ɴ, a̠ta̠ta̠ka̠i, t͡sɨᵝme̞ta̠i, , arataɕiki, , joɕi, ɰᵝa̠ɾɯ̟ᵝi, kɯ̟ᵝsa̠ɾɯ̟ᵝ, kʲita̠na̠i, , , , , , nɯ̟ᵝɾe̞ɾɯ̟ᵝ, ka̠ɰᵝa̠kɯ̟ᵝ, , , , , çida̠ɾʲi, de̞, ɲ̟i, to̞, to̞, mo̞ɕi, , na̠ma̠e̞
 jv, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ˈwu.lu, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ka, , ʃɛn, , tʃvɛn, ʃɛn, , , , ɑkʰ, ɪkʰ, , rɑ, , rɔdɪs, rɔɡɔr, ɑr, qʼvɛlɑ, bɛvri, , tsɔtʼɑ, sxvɑ, ɛrtʰi, , ˈsɑmi, ɔtʰxi, xutʰi, , ɡrdzɛli, vrtsɛli, skʰɛlɪ, mdzimɛ, pʼɑtʼɑrɑ, mɔkʼlɛ, vitsʼrɔ, tʰxɛli, kʰɑli, kʼɑtsi, ɑdɑmɪɑnurɪ, bɑvʃvi, tsɔli, kʰmɑri, dɛdɑ, mɑmɑ, tsxɔvɛli, tʰɛvzi, pʰrinvɛli, dzɑɣli, , ɡvɛli, tʃʼɪɑ, xɛ, tʼqʼɛ, dʒɔxi, χɪlɪ, tʰɛsli, pʰɔtʰɔlɪ, pʰɛsvi, kʰɛrkʰɪ, qʼvɑvili, bɑlɑxi, tʰɔkʼɪ, kʼɑnɪ, xɔrtsi, sisxli, dzvɑli, tsχɪmɪ, kʼvɛrtsxi, rkʰɑ, kʼudi, , tʰmɑ, tʰɑvi, , tʰvɑli, tsxviri, pʼiri, kʼbili, ɛnɑ, pʰrtʃxili, pʰɛxi, pʰɛxi, muxli, χɛlɪ, pʰrtʰɑ, mutsɛli, , kʼisɛri, zurɡi, dzudzu, ɡuli, ɣvidzli, smɑ, , , tsʼɔvɑ, , , ubɛrɑvs, , , χɛdvɑ, smɛnɑ, tsɔdnɑ, pʰikʰri, suni, zɑri, dzili, sitsɔtsxlɛ, , kʼvlɑ, brdzɔlɑ, nɑdɪrɔbɑ, , , , , , , , buzi, svlɑ, , sitsruɛ, dʒdɔmɑ, dɡɔmɑ, , , , , , , rɛtsxvɑ, , , , , , kʼɛrvɑ, , tʰkʰmɑ, , tʰɑmɑʃi, , dinɛbɑ, , , mzɛ, mtʰvɑrɛ, vɑrskʼvlɑvi, tsʼqʼɑli, tsʼvimɑ, mdinɑrɛ, tʼbɑ, zɣvɑ, mɑrili, kʰvɑ, kʰviʃɑ, mtʼvɛri, mitsʼɑ, ɣrubɛli, nisli, tsɑ, kʰɑri, tʰɔvli, qʼinuli, bɔli, tsɛtsxli, nɑtsɑrɪ, , ɡzɑ, mtʰɑ, tsʼitʰɛli, mtsʼvɑnɛ, qʼvitʰɛli, tʰɛtʰri, ʃɑvi, ɣɑmɛ, dɣɛ, tsʼɛli, tʰbili, tsɪvɪ, sɑvsɛ, ɑχɑlɪ, dzvɛli, kʼɑrɡi, tsudi, , bindzuri, , , mɑxvili, , , svɛli, , stsʼɔri, ɑχlɔ, ʃɔrɛuli, upʰlɛbɑ, mɑrtsxɛnɑ, , , , dɑ, tʰu, , sɑxɛli
 kg, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ki, , , , , , , , , , , noː, atea, , , , , , , , , , , , , , , , , , , , , , , , , , , mòànáꜜ, , , , , , ðàmákì(ꜜ), , , , , , , , , , , , , , , , , , , ðàkámɛ́, , , , ɾòheǎ, , , , keɔ̀ᵑɡɔ̌, , ɾiìðɔ́ꜜ, , kanua, ìɣɛ̀ɣɔ̀ꜜ, , , , kòɣòɾòꜜ, , ɣuɔ̀kɔ́ꜜ, , ⁿdàꜜ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ɾiòáꜜ, , , màːéꜜ, ᵐbùɾáꜜ, , , , , , , , , itu, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ɾeetwa
 kj, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 kk, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ɑˈdɑm, , , , , , , , bɑˈləq, ˈqʊs, , , , , aˈʁaʃ, , , , , , , qɑˈbəq, , , , , , ˈqɑn, , , , , qʊjˈrəq, , , , , , , , , tɪl, , , , , qol, qɑˈnɑt, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , sʊw, , , , , , tɑs, , , , , , ɑsˈpɑn, ʒel, , , , , , , , , qəˈzəl, , , , qɑˈɾɑ, , , , , , , , , (d)ʒaˈqsɯ, (d)ʒaˈman, , , , , , , , , , , , , , , , , , , , , 
 kl, , , , , , , manːa, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 km, k̥ʰñuṃ, , gāt´, yoeṅ, lok, gāt´, neḥ, noḥ, neḥ, , ʾ̥nkṇā, ʾī, , ʾṅ̥kāl´ṇā, rpiapṇā, , , c̥roen, , tic, , muay, bīr, pī, puan, p̥rāṃ, , vaeṅ, l̥h, juk, d̥ʰṅn´, tūc, k̥ʰlī, cṅ̥ʾiat, s̥ṭoeṅ, s̥rī, mnus̥s, , kūn, p̥rbn̥dʰ, p̥ṭī, m̥ṭāy, ýubuk, st̥v, t̥rī, pk̥sī, c̥ʰkae, cai, bs´, ṭṅ̥kūv, ṭoemjʰoe, b̥rai, ṭṃpṅ, p̥ʰlaejʰoe, g̥rāp´būj, s̥lẏk, ṛs, , p̥ʰkā, s̥mau, k̥ʰsae, s̥paek, sāc´, jʰām, c̥ʰʾẏṅ, k̥ʰlāñ´, s′ut, s̥naeṅ, kn̥duy, s̥lāp, sk´, k̥pāl, t̥rciak, b̥ʰnaek, c̥rmuḥ, māt´, d̥ʰmeñ, ʾṇ̥ṭāt, , joeṅ, joeṅ, jṅ̥gṅ´, ṭai, s̥lāp, k̥rbḥ, , k, k̥ʰnṅ, ṭoḥ, peḥṭūṅ, t̥ʰloem, pʰẏk, , kʰāṃ, jp´, , k̥ʾuat, pk´, ṭkṭṅ̥hoem, soec, gʰoeñ, ḹ, cer, yl´, k̥lin, , ṭek, nau, tāy, sm̥lāp´, vāytp´, prpāñ´, vāy, kāt´, , , ʾeḥ, , hael, ruy, ṭoer, mk, kuhk, ʾṅ̥guy, jʰr, , d̥ʰlāk´, o̥y, kān´, kiap, , lāṅ, , dāñ, ruñ, poḥ, cṅ, , rāp´, tʰā, c̥riaṅ, leṅ, , hūr, , , t̥ʰṅai, lokkʰae, tārā, dẏk, b̥ʰliaṅ, dn̥le, pẏṅ, smud̥r, ʾṃpil, t̥ʰm, k̥ʰsāc´, dʰūlī, , bbk, ʾ˘b̥d, megʰ, k̥ʰyl´, b̥ril, dẏkkk, p̥ʰsaeṅ, b̥ʰloeṅ, kṃñm, ṭut, p̥ʰlūv, b̥ʰnṃ, k̥rhm, paitṅ, lẏaṅ, s, k̥ʰmau, yp´, t̥ʰṅai, c̥ʰnāṃ, k̥ṭau, rṅā, beñ, t̥ʰmī, cās´, l̥ʾ, ʾāk̥rk´, , k̥rk̥ʰvk´, , , mut, , , , s̥ṅuat, , jit, c̥ʰṅāy, , c̥ʰveṅ, , , , nẏṅ, poe, b̥roḥ, j̥ʰmoḥ
 kn, , , , , , , , a, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ko, na̠, ta̠ŋɕʰin, kɯ, uɾi, ta̠ŋɕʰin, kɯdɯɭ, i, kɯ, jʌ̹ɡi, kʌ̹ɡi, nuɡu, muʌ̹t̚, ʌ̹di, ˈɘːnd͡ʑe̞, ʌ̹t͈ʌ̹kʰe̞, a̠n, ˈmo̞ːdɯn, ˈma̠ːnɯn, mjʌ̹t̚, ˈt͡ɕɘːk̚t͈a̠, ta̠ɾɯn, ha̠na̠, tuːɭ, sʰe̞ːt̚, ne̞ːt̚, ta̠sʰʌ̹t̚, ˈɘːɾɯn, ˈkiːɭda̠, nʌ̹ɭt͈a̠, tuk͈ʌ̹p̚t͈a̠, muɡʌ̹p̚t͈a̠, ˈt͡ɕa̠ːk̚t͈a̠, t͡ɕ͈a̠ɭt͈a̠, , ka̠nɯɭda̠, jʌ̹sʰʌ̹ŋ, ˈsʰa̠ːɾa̠m, ˈsʰa̠ːɾa̠m, ʌ̹ɾini, a̠ne̞, na̠mpʰjʌ̹n, ʌ̹mma̠, a̠bʌ̹d͡ʑi, ˈto̞ːŋmuɭ, muɭk͈o̞ɡi, sʰe̞ː, ke̞ː, i, pe̞ːm, , na̠mu, sʰup̚, mak̚d̬ɛːɡi, ˈkwa̠ːiɭ, ɕ͈i, ip̚, p͈uɾi, na̠muk͈ʌ̹p̚t͡ɕ͈iɭ, k͈o̞t̚, , pa̠t̚t͡ɕ͈uɭ] ~ [pa̠t͡ɕ͈uɭ, sʰa̠ɭɡa̠t̚, ko̞ɡi, pʰi, , t͡ɕiba̠ŋ, ta̠ɭɡja̠ɭ, p͈uɭ, k͈o̞ɾi, kit̚, mʌ̹ɾikʰa̠ɭ, mʌ̹ɾi, kɥi] ~ [ky, nun, kʰo̞, ip̚, i, çjʌ̹, sʰo̞ntʰo̞p̚, pa̠ɭ, ta̠ɾi, muɾɯp̚, sʰo̞n, na̠ɭɡe̞, pe̞, , mo̞k̚, tɯŋ, juba̠ŋ, , ka̠nd͡ʑa̠ŋ, ma̠ɕʰida̠, ɕʰiks͈a̠ɦa̠da̠, muɾʌ̹t͈e̞da̠, p͈a̠ɭda̠, , ke̞uda̠, ˈpuːɭda̠, sʰumʃʰɥida̠] ~ [sʰumʃʰyda̠, ˈuːt̚t͈a̠, po̞da̠, tɯt̚t͈a̠, ˈa̠ːɭda̠, sʰe̞ŋɡa̠kʰa̠da̠, ˈne̞ːmsʰe̞, ˈko̞ːŋpʰo̞, t͡ɕa̠da̠, ˈsʰa̠ːɭda̠, t͡ɕuk̚t͈a̠, t͡ɕuɡida̠, ta̠tʰuda̠, sʰa̠ɲja̠ŋɦa̠da̠, t͡ɕʰida̠, k͈ɯntʰa̠, , , kɯk̚t͈a̠, pʰa̠da̠, sʰujʌ̹ŋɦa̠da̠, pʰa̠ɾi, ˈkɘːt̚t͈a̠, o̞da̠, ˈkɘːd͡ʑinma̠ɭ, a̠nt͈a̠, sʰʌ̹da̠, ˈto̞ːɭda̠, nʌ̹mʌ̹d͡ʑida̠, t͡ɕuda̠, tɯɭda̠, t͡ɕ͈a̠da̠, pibida̠, ɕ͈it̚t͈a̠, ɕ͈it̚t͈a̠, ˈk͈ɯːɭda̠, miɭda̠, tʌ̹nd͡ʑida̠, muk̚t͈a̠, ˈkiːp̚t͈a̠, ˈsʰe̞ːda̠, ˈma̠ːɾɦa̠da̠, no̞ɾe̞ɦa̠da̠, ˈno̞ːɭda̠, , , ˈɘːɭda̠, pupʰuɭda̠, he̞, ta̠ɭ, pjɘːɭ, muɭ, pi, ka̠ŋ, ɸʷo̞sʰu, pa̠da̠, sʰo̞ɡɯm, to̞ːɭ, mo̞ɾe̞, mʌ̹nd͡ʑi, xɯk̚, kuɾɯm, a̠nɡe̞, ha̠nɯɭ, pa̠ɾa̠m, nun, ʌ̹ɾɯm, ˈjɘːnɡi, puɭ, t͡ɕe̞, , kiɭ, sʰa̠n, p͈a̠ɭɡa̠tʰa̠, no̞ks͈e̞k̚, ˈno̞ːɾa̠tʰa̠, çida̠, ˈkɘːmda̠, pa̠m, , ɲjʌ̹n, t͈a̠t͈ɯtʰa̠da̠, t͡ɕʰa̠n, , sʰe̞ɾo̞p̚t͈a̠, na̠k̚t͈a̠, ˈt͡ɕo̞ːtʰa̠, na̠p͈ɯda̠, s͈ʌ̹k̚t͈a̠, ˈtɘːɾʌ̹p̚t͈a̠, , tuŋɡɯɭda̠, , mudida̠, me̞k͈ɯɾʌ̹p̚t͈a̠, , ma̠ɾɯda̠, o̞ɭtʰa̠, ka̠k͈a̠p̚t͈a̠, , kwʌ̹ɭʎi, , , , wa̠, wa̠, , t͈e̞mun, iɾɯm
 kr, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ks, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , aːb, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ku, , , , , tʊ, , , , , , , , , , , , , ˈɡɛlɛk, , , , ˈjɛk, , , , , , ˈdɯɾeːʒ, , , , , , , , , ˈmɯɾov, , ˈzɑːɾok, , , , , , ˈmɑːsiː, , , , , , , , , , ˈtov, , ˈɾɛh, , , , , ˈt͡ʃɛɾm, , , , , , , , , , , , , , ˈdɛv, , ˈzɯmɑːn, , ˈpiː, , , , , , , , , , , , ˈvɛxwɑːɾɯn, ˈxwɑːɾɯn, , ˈmeːʒiːn, , , , , ˈkɛniːn, ˈdiːtɯn, ˈbiːstɯn, ˈzɑːniːn, ˈfɯkɯɾiːn, , , , , , , , , , , , , , , , ˈmeːʃ, , ˈhɑːtɯn, , , , , ˈkɛtɯn, , , , , , , , , , , , , , , , , , , , , , , , , ˈt͡ʃɛm, , , , ˈkɛvɯɾ, , , , , , , , , , , , ˈxwɛliː, , , ˈt͡ʃiːjɑː, , , ˈzɛɾ, ˈspiː, , ˈʃɛv, ˈɾoʒ, ˈsɑːl, , , ˈtɯʒiː, ˈnuː, ˈkɛvn, , , , , , , , , , , , , , , , , , , , ˈuː, , , ˈnɑːv
 kv, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 kw, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , mæm, taːz, , , , kiː, , , , , , , , , , , , , , , , , , , , ɔˑɪ, , , , , pɛnː, ˈskɔvarn, ˈlaɡas, , , , , , troːz, ɡarː, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ˈhɛrðja, , , , , lɛˈvɛrɛl, , , , , , , , , , doʊɹ, , , , mɔːr, , , , , , , , , , , , , , , , , , ryːð, ɡlaːz, ˈmɛlɪn, ɡwɪnː, dyː, , diːð, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ky, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , maj, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , d͡ʒaman, , , , , , , , , , , , , , , , , , , , , 
 la, ˈe.ɡoː, tuː, is, noːs, tuː, ˈi.iː, hik, ˈis.te, hik, ˈi.bi, kʷis, kʷid, ˈu.bi, ˈkʷan.doː, ˈkʷoː.mo.do, noːn, , ˈmul.tiː, , ˈpau̯.kus, ˈal.ter, ˈuː.nus, ˈdu.o, treːs, ˈkʷat.tu.or, ˈkʷiːn.kʷe, , ˈlon.ɡus, ˈlaː.tus, ˈkras.sus, ˈɡra.wis, ˈpar.wus, ˈkur.tus, anˈɡus.tus, supˈtiː.lis, ˈfeː.mi.na, ˈho.moː, , ˈfiː.li.us, ˈuk.sor, maˈriː.tus, , ˈpa.ter, ˈa.ni.mal, ˈpis.kis, ˈa.wis, ˈka.nis, ˈpeː.dis, ˈan.ɡʷis, ˈwer.mis, ˈar.bor, ˈsil.wa, ˈba.ku.lum, ˈfruːk.tus, ˈseː.men, ˈfo.li.um, ˈraː.diːks, ˈkor.teks, floːs, ˈher.ba, ˈfuː.nis, ˈku.tis, ˈka.roː, ˈsan.ɡʷis, oːs, ˈa.deps, ˈoː.wum, ˈkor.nuː, ˈkau̯.da, ˈpluː.ma, ˈko.ma, ˈka.put, ˈau̯.ris, ˈo.ku.lus, , oːs, dens, ˈlin.ɡʷa, ˈun.ɡʷis, peːs, kruːs, ˈɡe.nuː, ˈma.nus, ˈaː.la, abˈdoː.men, , ˈkol.lum, ˈdor.sum, ˈmam.ma, kor, ˈje.kur, ˈbi.boː, , ˈmor.de.oː, ˈsuː.ɡoː, ˈspu.oː, ˈwo.moː, floː, ˈspiː.roː, ˈriː.de.oː, ˈwi.de.oː, ˈau̯.di.oː, ˈski.oː, ˈkoː.ɡi.toː, ˈo.dor, ˈpa.wor, ˈdor.mi.oː, ˈwiː.woː, ˈmo.ri.or, ˈok.ki.doː, ˈpuɡ.noː, ˈweː.nor, , ˈin.se.koː, ˈskin.doː, konˈfo.di.oː, ˈskal.poː, ˈfo.di.oː, ˈna.toː, ˈmus.ka, ˈɡra.di.or, ˈwe.ni.oː, menˈdaː.ki.um, ˈse.de.oː, stoː, ˈwer.toː, ˈka.doː, doː, ˈte.ne.oː, ˈkom.pri.moː, ˈfri.koː, ˈla.woː, ˈter.ɡoː, ˈwel.loː, ˈpel.loː, ˈjak.toː, ˈli.ɡoː, ˈsu.oː, ˈnu.me.roː, ˈdiː.koː, ˈka.noː, ˈluː.doː, ˈflu.i.toː, ˈflu.oː, ˈɡe.loː, in.tuˈmeːs.koː, , ˈluː.na, , ˈa.kʷa, ˈplu.wi.a, ˈfluː.men, ˈla.kus, ˈma.re, , ˈla.pis, aˈreː.na, ˈpul.wis, ˈter.ra, , kaːˈliː.ɡoː, ˈkae̯.lum, ˈwen.tus, niks, ˈɡla.ki.eːs, ˈfuː.mus, ˈiɡ.nis, ˈki.nis, ˈaːr.de.oː, ˈwi.a, mons, ˈru.be.us, ˈwi.ri.dis, ˈflaː.wus, ˈal.bus, ˈni.ɡer, noks, ˈdi.eːs, ˈan.nus, ˈka.li.dus, ˈal.ɡi.dus, ˈpleː.nus, ˈno.wus, ˈwe.tus, ˈbo.nus, ˈma.lus, ˈpu.ter, ˈsor.di.dus, ˈreːk.tus, roˈtun.dus, ˈaː.ker, ˈhe.bes, ˈɡla.ber, ˈuː.dus, ˈsik.kus, , proˈpin.kʷus, ˈpro.kul, , ˈlae̯.wus, in, in, kum, et, siː, ˈkʷi.a, 
 lb, eχ, , , , du, , des, , hai̯, do, , , , , vɜɪ, , , , , , , eːn, t͡sweː, dʀæi̯, ˈfɜɪ̯ɐ, ˈfenef, , laːŋ, bʀeːt, , ʃwɜɪ̯ɐ, n, , , den, fʀa, mənʃ, , kant, , mɑn, mɑm, pɑp, dei̯(e)ʀ, feʃ, ˈfuʁəl, hont, , ʃlaːŋ, muə̯t, baːm, beʃ, , , zoːm, , ˈvuə̯t͡səl, ʃuəl, blum, ɡʀaːs, zeːl, hæu̯t, fleːʃ, blut, ʃɑŋk, , e, , , ˈfie̯deʀ, hoː(e)ʀ, , ˈəʊ̯ɐ, a, nuəs, mont, , t͡soŋ, ˈfaŋeʀˌnoːl, fou̯s, , knɜɪ̯, hant, , , , , ʀek, , , ˈliəvɐ, ˈdʀeŋken, ˈie̯sen, ˈbæi̯sen, , , ˈkɑtsən, , ˈoːtmən, ˈlaːχən, ɡeˈzin, ˈhei̯ʀen, , , , aŋʃt, ˈʃloːfən, ˈliə̯vən, , , , ˈjo.en, , , , , , ˈɡʀue̯ven, ˈʃwɑmən, , ˈɡo.en, , ˈliʑən, , ˈʃtoːən, , , , ˈhaːlen, , ˈʀɑɪvən, , , , , ɡeˈhai̯en, , ˈbitsen, ˈt͡siələn, , ˈzɑŋən, , , ˈflei̯sen, ˈfʀei̯ʀen, , zon, , ʃteːʀ, ˈvaːsɐ, ʀeːn, flos, zɜɪ, miːə̯, zɑlt͡s, ʃteːn, zɑnt, ʃtəps, , ˈvolək, ˈnivəl, ˈhimel, vant, ʃnɜɪ, æi̯s, damp, ˈfai̯(e)ʀ, æʃ, , , biə̯χ, ʀəʊt, ɡʀeŋ, ɡie̯l, væːɪ̯s, , ˈnuə̯ɕt, daːχ, joː(e)ʀ, vaːʀm, kaːl, fol, nɑɪ̯, , , , , , ʀiːχt, , , , ɡlaːt, naːs, ˈdʀeχen, , , , , leŋks, , , mɑt, an, , væl, num
 lg, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
