,aa,ab,ae,af,ak,am,an,ar,as,av,ay,az,ba,be,bg,bh,bi,bm,bn,bo,br,bs,ca,ce,ch,co,cr,cs,cu,cv,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,ff,fi,fj,fo,fr,fy,ga,gd,gl,gn,gu,gv,ha,he,hi,ho,hr,ht,hu,hy,hz,ia,id,ie,ig,ii,ik,io,is,it,iu,ja,jv,ka,kg,ki,kj,kk,kl,km,kn,ko,kr,ks,ku,kv,kw,ky,la,lb,lg,li,ln,lo,lt,lu,lv,mg,mh,mi,mk,ml,mn,mr,ms,mt,my,na,nb,nd,ne,ng,nl,nn,no,nr,nv,ny,oc,oj,om,or,os,pa,pi,pl,ps,pt,qu,rm,rn,ro,ru,rw,sa,sc,sd,se,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tl,tn,to,tr,ts,tt,tw,ty,ug,uk,ur,uz,ve,vi,vo,wa,wo,xh,yi,yo,za,zh,zu,Unnamed: 185
ty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
ug,-,-,-,-,-,-,-,23.71273,21.44872,-,-,7.9414,10.03478,-,23.85721,-,-,-,-,23.10398,-,-,24.23692,-,-,-,-,23.77781,-,-,23.03947,-,23.82355,-,-,-,24.92932,23.15032,24.47079,25.64278,-,-,20.34125,-,24.15203,-,26.11056,24.91695,-,24.86797,-,-,-,-,-,-,-,22.37457,-,-,-,20.08239,24.01504,-,-,-,-,-,-,-,24.47278,23.61878,26.24753,-,24.51447,-,26.49554,-,-,-,-,-,26.12394,-,21.96723,-,-,-,-,-,-,24.24706,23.15619,-,-,-,23.92788,-,-,22.30281,-,-,-,-,-,-,-,22.39874,-,23.55319,-,-,-,-,-,21.09765,-,-,-,-,25.38914,-,-,-,-,-,-,-,24.40926,-,26.37148,-,-,-,24.14044,25.03138,-,-,-,-,25.72098,-,-,23.77433,22.88971,-,-,-,21.27913,-,-,-,-,23.61095,-,-,-,-,24.73124,-,-,-,-,-,7.37797,-,-,-,-,,,,,,,,,,,,,,,,
uk,-,-,-,21.11584,-,-,-,22.82971,21.95585,-,-,24.90474,24.48757,8.86055,13.75361,-,-,-,22.97925,24.49288,23.38422,-,20.62908,-,-,-,-,10.84836,-,-,22.1297,21.40158,21.79276,-,-,-,19.80529,22.9276,19.30144,19.81161,-,-,21.53954,-,21.51693,-,22.45241,23.82223,20.14876,24.99277,24.66952,20.86246,-,-,22.75484,-,22.91916,22.88555,-,-,-,23.08038,22.9167,-,-,22.58472,-,-,-,-,18.71809,20.71271,18.48318,-,22.94986,-,23.38203,-,-,-,-,-,26.29458,-,24.04827,-,-,19.08051,-,-,-,20.22976,22.73144,-,-,-,24.84785,17.79519,-,19.15945,-,-,-,13.98373,-,24.03329,-,20.64055,22.80094,25.23149,-,-,-,-,-,22.1406,21.02786,-,-,-,21.89362,19.78845,-,-,-,-,-,-,11.75219,22.99504,21.01212,-,-,-,20.40606,11.22175,-,19.99021,-,-,22.6198,-,-,11.81404,12.47515,-,-,-,21.65687,-,-,-,-,21.12256,-,-,-,21.53118,25.81347,-,-,22.33812,-,-,23.67134,-,-,-,-,25.23341,,,,,,,,,,,,,,,
ur,-,-,-,22.33203,-,-,-,22.08562,15.52752,-,-,18.74252,23.11303,21.20059,20.56865,-,-,-,14.02106,25.32081,22.55015,-,19.90182,-,-,-,-,20.62719,-,-,22.57991,22.31061,22.15042,-,-,-,22.0486,23.29655,21.43354,22.11388,-,-,19.65766,-,21.51933,-,23.12845,21.94655,-,24.34629,24.07936,23.17722,-,-,23.43239,-,21.69715,3.02758,-,-,-,23.6358,23.5206,-,-,-,-,-,-,-,20.53199,22.7635,21.71208,-,24.59288,-,23.22153,-,-,-,-,-,25.42074,-,22.78207,-,-,-,-,-,-,23.03907,23.51519,-,-,-,24.23307,22.69969,-,21.41177,-,-,-,-,-,24.75109,-,22.08908,22.54839,25.37945,-,-,-,-,-,21.69058,20.64238,-,-,-,23.7431,-,-,-,-,-,-,-,21.7176,21.38919,22.20268,-,-,-,20.20175,21.65124,-,18.58579,-,-,23.27028,-,-,20.72337,21.2267,-,-,-,22.08574,-,-,-,-,21.88085,-,-,-,19.49962,23.53576,-,-,-,-,-,21.47732,-,-,-,-,-,22.71628,,,,,,,,,,,,,,
uz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
ve,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
vi,-,-,-,22.2023,-,-,-,24.90289,23.69606,-,-,23.80095,24.57699,24.92582,23.48094,-,-,-,23.10948,24.36209,23.2423,-,23.37538,-,-,-,-,24.35302,-,-,23.9306,22.68402,23.67283,-,-,-,24.31287,23.60025,25.22712,25.00558,-,-,24.41551,-,24.93117,-,25.72546,24.21007,23.67628,25.36366,25.29625,24.62613,-,-,23.43904,-,23.45754,24.47876,-,-,-,23.6002,24.50615,-,24.17212,23.88748,-,-,-,-,24.95052,25.43729,25.676,-,25.2123,-,26.20276,-,-,-,-,-,23.31651,-,26.24758,-,-,22.69236,-,-,-,25.62323,23.01191,-,-,-,20.73724,26.96288,-,23.74129,-,-,-,23.92484,-,24.33056,-,22.51834,24.75539,23.80969,-,-,-,-,-,23.19896,24.63416,-,-,-,24.66619,24.26045,-,-,-,-,-,-,25.45452,23.48856,25.13409,-,-,-,23.53379,26.01878,-,23.95629,-,-,25.8134,-,-,23.98021,23.69581,-,-,-,22.59387,-,-,-,-,22.87681,-,-,25.96526,23.24181,21.65353,-,22.33928,25.1475,-,-,23.70449,-,-,-,-,24.57013,25.81973,24.61389,-,-,,,,,,,,,,,
vo,-,-,-,-,-,-,-,21.68477,20.22783,-,-,-,24.31228,-,19.13774,-,-,-,-,-,-,-,19.51276,-,-,-,-,19.62321,-,-,21.74832,18.20482,15.94694,-,-,-,-,16.54933,20.05959,20.06361,-,-,21.60397,-,22.00403,-,-,22.23881,-,22.89794,-,-,-,-,-,-,-,22.46227,-,-,-,22.39713,21.27227,-,-,-,-,-,-,-,-,19.82462,20.83367,-,23.50766,-,25.23114,-,-,-,-,-,23.2285,-,24.07415,-,-,-,-,-,-,19.84737,16.02391,-,-,-,-,-,-,20.94476,-,-,-,-,-,-,-,21.51176,-,25.01415,-,-,-,-,-,14.90565,-,-,-,-,-,-,-,-,-,-,-,-,21.52453,-,19.32199,-,-,-,19.35282,21.22048,-,-,-,-,-,-,-,21.38029,19.85283,-,-,-,-,-,-,-,-,17.70878,-,-,-,-,22.84509,-,-,-,-,-,23.73905,-,-,-,-,-,-,-,-,-,22.22438,,,,,,,,,,
wa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
wo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
xh,-,-,-,-,-,-,-,25.77688,26.12848,-,-,-,27.69213,-,23.52682,-,-,-,-,-,-,-,26.56671,-,-,-,-,24.79475,-,-,27.92726,27.76818,26.39253,-,-,-,22.88493,29.11006,21.4168,22.08919,-,-,28.16163,-,23.29877,-,26.4783,29.2499,-,29.08644,-,-,-,-,-,-,-,27.05698,-,-,-,27.04358,27.81217,-,-,-,-,-,-,-,-,25.81571,23.34905,-,23.51818,-,24.50828,-,-,-,-,-,28.55732,-,26.92897,-,-,-,-,-,-,24.4159,28.14832,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.77079,-,29.908,-,-,-,-,-,27.16955,-,-,-,-,20.63729,-,-,-,-,-,-,-,24.54982,-,24.38942,-,-,-,26.25822,24.77938,-,-,-,-,21.85226,-,-,24.88631,24.68841,-,-,-,-,-,-,-,-,-,-,-,-,-,29.43771,-,-,-,-,-,26.63208,-,-,-,-,-,-,-,-,-,28.13906,-,-,-,,,,,,,
yi,-,-,-,10.97304,-,-,-,23.78399,23.45813,-,-,24.16024,24.25738,22.05481,21.2283,-,-,-,-,25.00124,18.4485,-,21.36124,-,-,-,-,20.91642,-,-,20.72491,13.61397,7.1483,-,-,-,21.63449,15.985,20.31347,21.59133,-,-,21.27139,-,23.05316,-,18.88248,22.8547,-,22.87037,21.75117,21.53295,-,-,21.8317,-,23.76466,22.25051,-,-,-,21.72632,21.34279,-,-,-,-,-,-,-,19.80229,17.55597,22.05737,-,23.71403,-,25.11859,-,-,-,-,-,24.90403,-,25.24523,-,-,-,-,-,-,20.60285,10.32093,-,-,-,24.49353,22.19302,-,21.31512,-,-,-,-,-,22.89066,-,22.12217,21.89491,23.64281,-,-,-,-,-,9.99809,14.57191,-,-,-,24.40623,-,-,-,-,-,-,-,21.51681,21.64333,22.47891,-,-,-,21.65553,22.66505,-,23.0514,-,-,24.75255,-,-,21.31463,20.44575,-,-,-,21.27862,-,-,-,-,13.65799,-,-,-,21.02102,24.68911,-,-,-,-,-,23.47076,-,-,-,-,23.16098,22.01876,22.4117,-,-,23.68672,-,-,-,-,,,,,,
yo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
za,-,-,-,22.90085,-,-,-,25.37241,22.84565,-,-,23.90611,25.62431,24.68253,23.63242,-,-,-,22.97906,22.80529,23.85201,-,23.43066,-,-,-,-,24.04062,-,-,22.97151,21.12847,22.39388,-,-,-,24.41819,22.11127,25.04887,25.20757,-,-,23.92073,-,25.09836,-,26.53092,24.45649,21.74034,25.6526,23.93493,25.59266,-,-,23.69909,-,24.96617,24.35425,-,-,-,22.37105,24.04162,-,-,22.71279,-,-,-,-,25.13068,25.21981,25.98938,-,23.50789,-,27.48291,-,-,-,-,-,23.36855,-,25.61473,-,-,-,-,-,-,24.7163,21.74328,-,-,-,13.52663,27.2504,-,24.38755,-,-,-,23.07156,-,25.09463,-,22.96709,25.87656,23.34831,-,-,-,-,-,22.69952,22.91773,-,-,-,26.0488,22.54401,-,-,-,-,-,-,24.53324,24.1797,25.13561,-,-,-,23.20641,25.63994,-,25.29563,-,-,26.96538,-,-,24.66367,23.63192,-,-,-,22.65674,-,-,-,-,22.64087,-,-,23.63171,22.82442,14.80906,-,-,-,-,-,24.99155,-,-,-,-,23.00946,25.66683,25.26231,-,-,20.86595,-,-,-,30.10718,23.28424,-,,,,
zh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
zu,-,-,-,29.49204,-,-,-,24.86266,26.22855,-,-,26.52947,27.82996,25.71378,25.19273,-,-,-,25.72857,27.35658,28.37454,-,27.10831,-,-,-,-,25.7651,-,-,27.0592,28.13292,27.65536,-,-,-,23.04998,29.65982,22.73711,23.83107,-,-,27.18056,-,24.13621,-,27.83167,30.01689,27.44606,29.57503,29.61706,25.09898,-,-,29.78273,-,26.11979,28.20433,-,-,-,28.49355,27.89236,-,-,21.4256,-,-,-,-,23.61897,26.72704,23.63162,-,24.37252,-,25.27969,-,-,-,-,-,28.95663,-,27.90138,-,-,28.79363,-,-,-,25.64584,28.28192,-,-,-,28.57815,25.59518,-,25.4156,-,-,-,25.0805,-,29.27935,-,23.02798,26.58099,28.64772,-,-,-,-,-,28.21103,28.07492,-,-,-,19.28467,26.30844,-,-,-,-,-,-,26.59042,26.26092,24.63926,-,-,-,24.50262,26.73973,-,24.72346,-,-,22.30665,-,-,25.87298,25.86012,-,-,-,26.83099,-,-,-,-,28.07002,-,-,23.75082,26.96477,28.65988,-,28.73932,23.91292,-,-,27.70789,-,-,-,-,28.1231,25.54802,26.88972,-,-,28.99929,28.82695,-,-,6.21825,27.71322,-,30.37686,-,,
Unnamed: 185,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
